MovieID,Name,Date_Added,Release_Year,Rating,Duration(minutes),Description
95,Letters to Juliet,"September 1, 2021",2010,PG,105,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
96,Level 16,"September 1, 2021",2018,TV-14,102,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
97,Love Don't Cost a Thing,"September 1, 2021",2003,PG-13,101,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
98,Love in a Puff,"September 1, 2021",2010,TV-MA,103,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
99,Mars Attacks!,"September 1, 2021",1996,PG-13,106,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
100,Marshall,"September 1, 2021",2017,PG-13,118,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
101,My Boss's Daughter,"September 1, 2021",2003,R,86,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
102,Mystery Men,"September 1, 2021",1999,PG-13,121,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
103,Once Upon a Time in America,"September 1, 2021",1984,R,229,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
104,Open Season 2,"September 1, 2021",2008,PG,76,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
105,Osmosis Jones,"September 1, 2021",2001,PG,95,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
106,Poseidon,"September 1, 2021",2006,PG-13,98,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
107,Rhyme & Reason,"September 1, 2021",1997,R,89,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
108,Same Kind of Different as Me,"September 1, 2021",2017,PG-13,120,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
109,School of Rock,"September 1, 2021",2003,PG-13,110,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
110,Snervous Tyler Oakley,"September 1, 2021",2015,PG-13,83,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
111,Tears of the Sun,"September 1, 2021",2003,R,121,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
112,The Blue Lagoon,"September 1, 2021",1980,R,105,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
113,The Golden Child,"September 1, 2021",1986,PG-13,94,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
114,The Guns of Navarone,"September 1, 2021",1961,TV-14,156,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
115,The Interview,"September 1, 2021",2014,R,112,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
